topic,definition_level,pdf_page,formula,algorithm_step,relevant_location,paper_meaning,implementation_consequence,open_ambiguity
seed customer selection,PARTIAL,17,,Algorithm 1 input; step 1,Section 5.1.2 and 5.1.5,R0 is generated by a preceding removal strategy and is distinct from closure additions,Preserve seed provenance and order,Standalone Native Cascade generator and singular versus set seed are not fixed
removal quantity,PARTIAL,16-17,91;92,,Destroy strategy descriptions,Predefined proportion or k determines R0 while closure may enlarge it,Requested count must not cap R star,Rounding minimum and Cascade-specific count are unstated
randomness,PARTIAL,16-17,,,Random and related removal descriptions,Random removal and related seed are random with related seed uniform,Closure and partition should not add undocumented RNG,Multi-sample distribution and API call order are unstated
dependency definition,PARTIAL,17,93,step 3,Section 5.1.2,Di is structural truck-van-drone dependency including same drone sub-route and associated truck or van decisions,Build an explicit pre-destroy structural dependency graph,Exact predicates and scopes are absent
dependency direction,PARTIAL,17,,step 3,Cascade examples,Impact examples suggest upstream to downstream direction,Choose and document direction only as engineering interpretation,Same-sub-route symmetry and complete direction are unstated
recursive propagation,EXPLICIT,17,93,steps 2-5,Formula and Algorithm,Union dependencies recursively to a fixed point,Use exact worklist closure without cap or sampling,Traversal order is unstated
closure termination,EXPLICIT,17,93,steps 2-5,Sentence after formula 93,Stop when the set no longer changes,Terminate at set stability and handle cycles by visited membership,Data structure is unstated
final removal set,EXPLICIT,17,93,steps 6-7,Sentence after formula 93,R star is the fixed point and customers plus associated structures are removed simultaneously,Removed customer union must equal closure and snapshots precede mutation,State encoding of simultaneous removal is unstated
related route,PARTIAL,17-18,,step 7,Cascade examples and Algorithm,Associated truck and van routes or vehicle route segments are affected,Represent affected route structures without touching unrelated routes,Associated segment boundaries are undefined
related sub-route,PARTIAL,17-18,93,step 7,Di paragraph and Algorithm,Same or associated drone sub-routes belong to structural impact,Represent sortie customer and launch-recovery relationships,Anchor inclusion and chained-sortie scope are incomplete
multiple chains,EXPLICIT,17,93,steps 2-5,Set-union closure,All reachable chains from all seeds merge into one R star,Continue traversal for every new node and deduplicate,Visit order is unstated
bundle partition,PARTIAL,17-18,95,step 8,Repair description and Algorithm,Partition R star into dependency-based bundles,Require disjoint complete partition grounded in dependencies,Exact component and bundle ordering rule is absent
dependency order,UNSPECIFIED,17-18,95,steps 8-15,Bundle repair,No within-bundle customer order is defined,Label dependency_order as engineering contract,Order semantics are absent
tie-breaking,UNSPECIFIED,17-18,,,Cascade sections,No exact tie rule is given,Use stable deterministic engineering rules,All tie domains are unspecified
duplicates,PARTIAL,17-18,93,steps 1-8,Set notation and partition,Duplicate customer membership collapses under set union,Ensure unique R star and non-overlapping bundles,Duplicate edge provenance is unstated
infeasible expansion,UNSPECIFIED,17-18,,steps 2-15,Removal then repair constraints,Feasibility is not stated as a closure cutoff,Do not silently truncate closure or fall back,Malformed or unrepresentable closure handling is absent
