action_id,destroy,repair,selected,actually_unassigned,path,adapter_calls,bundle_membership,dependency_order,category,objective,feasible,violation_count,business_fingerprint,active_context_after_repair,baseline_match,rng_digest
0,Random,Global,12,12,Ordinary,0,,,B,40927.31636113969,False,4,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
1,Random,Local,12,12,Ordinary,0,,,B,40927.31636113969,False,4,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
2,Random,Regret,12,12,Ordinary,0,,,A,926.3737517924612,True,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
3,Random,Cascade,12,12,Ordinary,1,[12],[12],A,927.8802748155612,True,0,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
4,Greedy,Global,7,7,Ordinary,0,,,A,765.2523175400826,True,0,da4451935d067199fc880bbde649a891258dc027df8b833b3e8bbeaaf9217e76,False,True,6b1deb4fb11923d5a698f8b90d6e2cc7b2e247c417c329dbbdee14e0e1854292
5,Greedy,Local,7,7,Ordinary,0,,,A,773.1502873365171,True,0,95a1746970f9d4d18841f0261f05f6a4d1783c92923359249b2e1db510aeb933,False,True,6b1deb4fb11923d5a698f8b90d6e2cc7b2e247c417c329dbbdee14e0e1854292
6,Greedy,Regret,7,7,Ordinary,0,,,A,765.2523175400826,True,0,da4451935d067199fc880bbde649a891258dc027df8b833b3e8bbeaaf9217e76,False,True,6b1deb4fb11923d5a698f8b90d6e2cc7b2e247c417c329dbbdee14e0e1854292
7,Greedy,Cascade,7,7,Ordinary,1,[7],[7],A,791.6393353884779,True,0,b29d4743a67273b3908cd26e1f4a95c634829d3a50aae1cc7596cf5803ee5cb3,False,True,6b1deb4fb11923d5a698f8b90d6e2cc7b2e247c417c329dbbdee14e0e1854292
8,Related,Global,12,12,Ordinary,0,,,B,40927.31636113969,False,4,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
9,Related,Local,12,12,Ordinary,0,,,B,40927.31636113969,False,4,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
10,Related,Regret,12,12,Ordinary,0,,,A,926.3737517924612,True,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
11,Related,Cascade,12,12,Ordinary,1,[12],[12],A,927.8802748155612,True,0,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
12,Cascade,Global,12,12,Native,0,[12],[12],B,40927.31636113969,False,4,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
13,Cascade,Local,12,12,Native,0,[12],[12],B,40927.31636113969,False,4,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
14,Cascade,Regret,12,12,Native,0,[12],[12],A,926.3737517924612,True,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
15,Cascade,Cascade,12,12,Native,0,[12],[12],A,927.8802748155612,True,0,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e,False,True,6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1
